"acct_no","card_no","cust_name","uid","mob_phone","mge_org","recom_no","mp_number","mp_type","mp_status","purch_date","purch_mth","total_amt","total_mths","mth_instl","instl_cnt","rem_ppl","total_fee","rem_fee","rec_fee","etl_dt"
"0051218838","6228151354959813",佟茂弯,"320926197110128638","18352029929","""""","""""","0001",大额分期,活动,"20211022","10",40000.00,36,1111.11,4,35555.56,4800.00,0.00,4800.00,"2022-03-08"
"0050479094","6228151354147930",明茂弯,"320926197508225702","15995171012","""""","""""","0001",大额分期,活动,"20200624","06",100000.00,36,2777.78,20,44444.40,12000.00,5333.40,6666.60,"2022-03-08"
"0050009734","6228151354672796",晋辰汪,"32098219811105076X","15862074449","""""","""""","0001",大额分期,活动,"20191224","12",130000.00,36,3611.11,26,36111.14,15600.00,0.00,15600.00,"2022-03-08"
"0050659391","6228151354905741",向鹿杏,"320926197603222710","18951546911","""""","""""","0001",大额分期,活动,"20200914","09",55000.00,36,1527.78,18,27499.96,6600.00,0.00,6600.00,"2022-03-08"
"0051252431","6228151354910972",龚络络,"420607199303029086","19951017790","""""","""""","0001",大额分期,活动,"20220124","01",63300.00,36,1758.33,1,61541.67,7596.00,7385.00,211.00,"2022-03-08"
"0000334648","6228159979317622",贺邯逖,"32098219910712859X","15261955677","""""","""""","0005",账单分期,活动,"20211010","10",1440.00,6,240.00,5,240.00,50.40,8.40,42.00,"2022-03-08"
"0000406820","6228159856560625",曲亦赴,"320911199003091483","13851040410","""""","""""","0013",账单分期,活动,"20211109","11",3657.00,6,609.50,4,1219.00,128.00,42.68,85.32,"2022-03-08"
"0050995574","6228151354965679",薛宅,"320982198710059870","18752228333","""""","""""","0001",大额分期,活动,"20210207","02",200000.00,36,5555.56,13,127777.76,24000.00,15333.41,8666.59,"2022-03-08"
"0000001912","6228159353008623",贺驻,"32092619650425937X","13222334455","""""","""""","0004",大额分期,活动,"20211222","12",95000.00,36,2638.89,2,89722.22,11400.00,0.00,11400.00,"2022-03-08"
"0050273287","6228151354118014",宫赴勇,"330624199002249397","13390670023","""""","""""","0002",大额分期,活动,"20201026","10",116025.00,36,3222.91,16,64458.30,9862.13,5479.00,4383.13,"2022-03-08"
"0050367720","6228151354127429",陶斩,"320982199310210708","15901719297","""""","""""","0001",大额分期,活动,"20200409","04",110000.00,36,3055.56,23,39722.21,13200.00,0.00,13200.00,"2022-03-08"
"0050991751","6228151354954459",范辑吁,"320982198802143519","18796528030","""""","""""","0001",大额分期,活动,"20210127","01",200000.00,36,5555.56,13,127777.76,24000.00,0.00,24000.00,"2022-03-08"
"0000183420","6228159230760628",晃唤汪,"330703196907059176","15961957169","""""","""""","0001",大额分期,活动,"20190823","08",95900.00,36,2663.88,30,15983.31,11508.00,0.00,11508.00,"2022-03-08"
"0000298325","6228159561869626",乔骜,"320982199408113500","15995170189","""""","""""","0003",账单分期,活动,"20210605","06",4455.00,12,371.25,9,1113.75,311.85,0.00,311.85,"2022-03-08"
"0000241462","6228159543788621",施缭缭,"320982199607064625","18248773171","""""","""""","0001",大额分期,活动,"20201130","11",100000.00,36,2777.78,15,58333.30,12000.00,0.00,12000.00,"2022-03-08"
"0000256102","6228159586178623",丛穗,"320982199208134390","13770150305","""""","""""","0001",账单分期,活动,"20210701","07",4489.00,12,374.08,8,1496.34,314.23,0.00,314.23,"2022-03-08"
"0050031602","6228151354605507",乔唐冀,"330122199101228292","15261971211","""""","""""","0002",账单分期,活动,"20220118","01",13545.63,6,2257.61,1,11288.02,474.10,395.09,79.01,"2022-03-08"
"0000273496","6228159510742627",赖败巡,"320982198511100391","13851310871","""""","""""","0001",账单分期,新增的,"20220306","03",4400.00,3,1466.67,0,4400.00,70.40,70.40,0.00,"2022-03-08"
"0050042355","6228151354661575",颜爹嘟,"330624199111226397","17768232233","""""","""""","0002",账单分期,活动,"20211101","11",10800.00,12,900.00,4,7200.00,756.00,504.00,252.00,"2022-03-08"
"0050270206","6228151354110193",樊末邢,"320926197109054512","15312890918","""""","""""","0001",大额分期,活动,"20200603","06",119000.00,36,3305.56,21,49583.32,14280.00,0.00,14280.00,"2022-03-08"
"0051157998","6228151354959193",路沦痴,"532328198008045620","18066009348","""""","""""","0001",大额分期,活动,"20210723","07",110000.00,36,3055.56,7,88611.09,13200.00,0.00,13200.00,"2022-03-08"
"0051155806","6228151354958617",施赵忿,"320982200009132718","18262868879","""""","""""","0002",账单分期,新增的,"20220218","02",1642.00,12,136.83,0,1642.00,114.94,114.94,0.00,"2022-03-08"
"0050958501","6228151354967352",贺棉闭,"320982198906108582","18452567134","""""","""""","0001",大额分期,活动,"20210113","01",40000.00,24,1666.66,14,16666.65,2400.00,0.00,2400.00,"2022-03-08"
"0050355221","6228151354122180",贺鹿痴,"320982199612250326","15261950867","""""","""""","0001",大额分期,活动,"20200324","03",40000.00,24,1666.67,23,1666.66,3200.00,0.00,3200.00,"2022-03-08"
"0051065176","6228151354951166",樊邯妃,"320982199904038618","17551560949","""""","""""","0001",大额分期,活动,"20210401","04",174000.00,36,4833.33,11,120833.37,20880.00,14500.00,6380.00,"2022-03-08"
"0050548382","6228151354972501",贺斩,"320926196512285623","13851003808","""""","""""","0001",大额分期,活动,"20200803","08",300000.00,36,8333.34,19,141666.69,36000.00,0.00,36000.00,"2022-03-08"
"0050750451","6228161392652007",饶妃败,"411403199911130666","16651546590","""""","""""","0002",账单分期,活动,"20210811","08",2180.21,12,181.69,7,908.42,152.61,0.00,152.61,"2022-03-08"
"0050494803","6228151354978474",欧磷悲,"320911199101089993","13390670388","""""","""""","0001",大额分期,活动,"20200716","07",67135.00,36,1864.86,20,29837.80,5706.48,2536.28,3170.20,"2022-03-08"
"0050965647","6228151354950341",易宽唐,"320911198806172119","18962081076","""""","""""","0001",大额分期,活动,"20210222","02",300000.00,36,8333.33,12,200000.04,36000.00,24000.00,12000.00,"2022-03-08"
"0050000911","6228151354670303",庄贯谷,"330624198511018373","15061625799","""""","""""","0003",账单分期,活动,"20210712","07",7568.16,12,630.68,8,2522.72,529.77,0.00,529.77,"2022-03-08"
